"","n","r","lambda01","mu01","lambda02","mu02","lambda03","mu03","lambda04","mu04","lambda05","mu05","lambda06","mu06"
"51",20,16,1.68262721189697,1.49660461996029,1.42512287528005,1.44997624939158,1.24547669793747,1.40441298942727,0.21649940025295,0.532945004638024,0.905121999743277,2.94197924220425,0.213528519615097,0.525963676530062
"52",20,16,3.02927596304946,1.47384419205264,2.86811185733029,1.46189958969487,2.6598151593665,1.44944625456993,0.409310568969913,0.799782064980625,0.524838916105349,1.15988799529167,0.394272620143302,0.777217135120253
"53",20,16,1.42972327628223,1.53710160031975,1.42387927291633,1.53550955154654,1.41169576226318,1.53215873430547,1.52047503429762,1.55284030828679,0.488595498268061,1.36570504841394,0.41425449465679,1.05940608110697
"54",20,16,1.35827828216166,1.28971053147969,1.30557579905131,1.27859306314033,0.968730646073493,1.18888596240353,0.246213686796721,0.507413608087632,0.931202629540848,2.80088668305794,0.231106903619645,0.45892621091958
"55",20,16,1.05809807182319,1.36968387720844,1.01594760157801,1.3525788161585,0.950343778547616,1.32953146514908,1.16049068975438,1.41108966228487,0.666570864090595,1.39515805764084,0.571247332743336,1.1564566313112
"56",20,16,2.30704490160106,1.35229800694147,2.28317367628684,1.34877169642189,2.26608306215596,1.34649926251812,0.420867322129281,0.766088491775325,0.555262922983175,1.14058965522569,0.409105001273099,0.754620646743363
"57",20,16,0.923292985242938,1.410373825844,0.80504642030694,1.36406578188822,0.77436229425369,1.34699920787131,0.229125467226567,0.708015772338066,0.776430512074931,3.14485169355208,0.202256925352305,0.614758020557594
"58",20,16,1.84778358737871,1.40059134683322,1.62739425798754,1.36611095655697,1.41361045617091,1.33288837431303,0.204604024366934,0.402774036124573,0.287489270601848,0.977497408075685,0.202834185902802,0.402249429569563
"59",20,16,1.2431015762356,1.37573252798688,1.06576643405299,1.32638376552003,1.03298874056862,1.31800801860137,1.26768220359069,1.37383774445624,0.54293759871888,1.25184802927358,0.480086924622136,1.0029045902959
"60",20,16,1.31143807669284,1.46992876353514,1.09930269795546,1.40764985744622,1.00019725038116,1.36919992869678,0.265545990340262,0.741304157891982,0.953214522410415,2.98645231244009,0.245292984487363,0.692789021530534
"61",20,16,1.04422162720315,1.33407179583417,0.995064043671448,1.31719420922514,0.95977005237163,1.30635251323181,1.2047010782008,1.37904194170377,0.697076810276246,1.36083274345125,0.602747087562304,1.13541737078279
"62",20,16,2.07247861525244,1.53797100322054,2.05926944040861,1.53605127148826,1.89448503591395,1.51402440402785,2.10160167798028,1.53262474019576,0.599823373517994,1.32821100693018,0.51171819950806,1.05743363768135
"63",20,16,10.9822204538231,1.76690508938738,9.44927615619828,1.75203029738612,8.06472525563043,1.73966907918553,1.11082730474535,1.32604267995814,1.52568002090484,1.56417789017105,1.09228348711679,1.32032885849265
"64",20,16,0.820343390473747,1.4249372377817,0.810118546263254,1.41999936270607,0.799957824044621,1.41499896675459,0.8757420441944,1.44742937254755,0.674807190264152,3.27301876883371,0.178992836869876,0.576149157691309
"65",20,16,2.01798616882956,1.56834048166532,1.49302744263125,1.48013796841436,1.26698430120045,1.43196530452938,0.469439811386258,1.05230262729093,0.967824391678701,1.76072691665026,0.403954300040837,0.974218242757812
"66",20,16,2.06356147303833,1.3858818660869,1.98425764413257,1.3756141098313,1.80855916418692,1.35379624014539,0.273083943388156,0.550160115311111,0.364276764656419,1.01610786785282,0.265431804201234,0.530770508429216
"67",20,16,3.43260793487168,1.68441350223016,3.33342935888374,1.67615996220365,2.91014999118957,1.64214169137489,0.369349204347312,0.929242158236078,0.526938190943586,1.3611768035584,0.368229433376802,0.928803978464741
"68",20,16,3.07126202854542,1.52818252255109,2.96818486898636,1.51870389028339,2.38980581453957,1.46953887025069,0.257702211735718,0.574412060140136,0.369442895345268,1.09414957387403,0.256595716430113,0.57449949446191
"69",20,16,2.19018099573153,1.50994706723983,1.99330917464435,1.48601383911251,1.70985821255537,1.44547649072185,0.152321733765246,0.198082054952864,0.736253676910745,2.98549702877226,0.154567368777075,0.204389969399059
"70",20,16,1.1938421388361,1.35179223424985,1.14979972328937,1.33938048008366,1.12688541009686,1.33263701805093,1.33475236185947,1.40341291570558,1.77624671815278,2.68396257121322,0.496480217253186,1.0412864914153
"71",20,16,3.78540083662691,1.52975194985353,3.78456272361286,1.52970945087112,3.39720532869166,1.50788262974525,0.374111163054083,0.761558768862543,0.556585050237189,1.21008620814236,0.376940670979132,0.768281720074463
"72",20,16,1.66774092941852,1.52670696157551,1.53502171590972,1.50810381980788,1.339951622584,1.46342694617916,0.307959859377323,0.831502988286338,1.09284655482549,2.90739886080317,0.281068811473392,0.769695699152265
"73",20,16,2.70434840228206,1.61221635586019,2.70434840228206,1.61221635586019,2.58879006770029,1.60195964423497,0.584281932270111,1.13640091086615,0.663010567044851,1.3932847246108,0.536652337326356,1.09809594721058
"74",20,16,4.40723528904032,1.68204306520815,4.28501701585722,1.67671237340712,3.8932918441449,1.66296858193729,0.373514325083798,0.882463521992652,0.557120462603812,1.33083016041913,0.376334087120568,0.887576551186903
"75",20,16,1.12633723186988,1.27648243611897,1.12633723186988,1.27648243611897,1.05139985753458,1.2506562558189,1.39355348102148,1.34463355017577,0.516407089637139,1.19991651606131,0.424369086878517,0.88357618597027
"76",20,16,2.12087631733733,1.48128453488516,2.01634585477637,1.47193999287296,1.70840698143411,1.43096326514049,0.234670379431933,0.546245556192039,0.974761975273395,2.86142424394479,0.231080797657871,0.537623522746706
"77",20,16,2.79365893281679,1.61893338710094,2.47462791204766,1.58838690830559,2.3740596953959,1.58005179402302,0.658263497594875,1.1898270303445,0.72573162690196,1.42548664949373,0.58119525400529,1.13888164302528
"78",20,16,2.90773087652964,1.65159069831463,2.8835075500498,1.65057833366421,2.84036970707059,1.64874351147721,3.23351517018961,1.67046815231059,1.55552353966486,1.617919629471,1.40788257470588,1.48223570247698
"79",20,16,7.27599327854459,1.68201260061015,6.20238434704761,1.65813692213453,5.3402537211625,1.63770807365167,0.758863692372166,1.14573847794662,1.05180565892796,1.43624823309613,0.74907428656697,1.14034924585992
"80",20,16,2.05712011960059,1.50003290695499,2.01312863622583,1.49404519174455,2.01312863622583,1.49404519174455,2.12529773743721,1.49834810493287,1.16663290437536,1.46235352720323,1.06119006891148,1.31254566089751
"81",20,16,1.17176360774841,1.28736861401749,1.1306783920398,1.27228542263507,1.1306783920398,1.27228542263507,1.21475517731418,1.2903532554506,0.413919206471156,1.123036774714,0.332803389430393,0.747741724019264
"82",20,16,1.37859602089513,1.43885946733982,1.36069985213876,1.43404136450847,1.21144861552372,1.39388687871407,1.59042560161029,1.45745916308806,1.94851132660551,1.87144761057389,0.676561655600822,1.1782818459263
"83",20,16,2.03685817843823,1.65029919710263,1.87429028590597,1.6408773712489,1.84446757512974,1.63729503685029,2.32475784081565,1.67456273849457,0.697048392925773,1.49358041602006,0.593066301471668,1.24264640791182
