"","n","r","lambda01","mu01","lambda02","mu02","lambda03","mu03","lambda04","mu04","lambda05","mu05","lambda06","mu06"
"28",20,20,1.12162474195037,1.41733202205489,1.10323261891242,1.40685706579599,1.09739538428009,1.40459863276687,1.15431747002737,1.4148682078794,2.29744943706072,1.78685477457254,0.897796652247569,1.32097764064273
"29",20,20,5.23962872332303,1.62733077061404,5.23826567727068,1.6272575036587,5.21492129983251,1.62599823264024,5.52736404218776,1.63517786720448,5.66145862571615,1.65530574454126,4.35786151328585,1.595056895816
"30",20,20,2.51753142570219,1.57251102853087,2.46103334640719,1.56608083455372,2.39446421605922,1.55898006863916,2.32437033926126,1.55599842497443,3.08279300653878,1.64896642617482,2.40393454474144,1.57098382794292
"31",20,20,2.5684802228775,1.46121222088374,2.54640541284856,1.46015419570537,2.54640541284856,1.46015419570537,2.53864277200437,1.46111926530442,3.49136684018212,1.52845246666666,3.02995047331379,1.49356970098109
"32",20,20,1.51835537298122,1.40938347657759,1.46480693813888,1.39331630989525,1.382286665696,1.37452080546115,1.31586541116707,1.3673378268062,3.97005551727148,1.83844028925004,1.22759714599382,1.34527338782297
"33",20,20,2.27829324346515,1.56492169527825,2.24837857905086,1.56108737832053,2.23464710600874,1.55928181944096,2.1616527896672,1.56124669998119,2.51900762566232,1.59376336063872,2.39715747628386,1.58399779166575
"34",20,20,1.24027701536545,1.26130238414622,1.22622043051665,1.25796299227185,1.18453462878797,1.24771262432326,1.37073921045704,1.30511680387628,1.9899957672663,1.42319035331116,1.59728239362587,1.34482728710281
"35",20,20,2.69708216891292,1.61359435517165,2.50749614949997,1.58815779790906,2.10906655698726,1.53714426076104,2.09714026583409,1.51880142431425,2.40814808567254,1.54439776742715,2.27439860931466,1.53625136429165
"36",20,20,1.37789929189031,1.4319820887738,1.37403347449509,1.43061322972759,1.37403347449509,1.43061322972759,1.36078352793831,1.43417411772674,1.63094638684091,1.50827270611794,1.35840216914902,1.43426344838306
"37",20,20,1.60272459589508,1.32828086034667,1.49240763307102,1.3097296996991,1.41110831848677,1.28992860690224,1.26422626257898,1.26280584609873,2.0264773469029,1.43503795348588,1.54923806807422,1.33203792147138
"38",20,20,1.86752034368466,1.55131613837731,1.85864921062799,1.55055715070761,1.84560804268476,1.54804196607342,1.82917626187515,1.54326954687734,2.23248549185205,1.61696774626935,1.86044259366859,1.55245399264696
"39",20,20,2.53679364513119,1.56552539926792,2.48801825901842,1.55739736895481,2.48801825901842,1.55739736895481,2.48875125671092,1.56294228922818,2.68393125080237,1.57039085231594,2.64957841192776,1.57378041392571
