"","RE1","RE2","RE3","RE4","RE5","RE6"
"26",0.0107710558346198,0.000857233888932774,0.0023970101487506,0.00858056573801971,0.568641329291065,0.717571580964741
"27",0.0108701522517433,0.000946938416446929,0.00230302735332354,0.00843909097354888,0.590548117292184,0.716209927250631
"28",0.013107734315131,0.00124715825499146,0.00221681482546434,0.0102301180599993,0.544519981132333,0.674721847961457
"29",0.0108980809802624,0.00116132133737028,0.00276055713334643,0.00868379523442107,0.592010655528192,0.680463072582673
"30",0.0103161924329665,0.00101375069315288,0.00148679269458066,0.00816004985652153,0.534160154693247,0.696854160219432
"31",0.00893493415577061,0.000960231312164671,0.000973487964882772,0.00704620712045884,0.460602888294952,0.588159675725936
"32",0.0118842721285599,0.00138722905974903,0.0019078389916444,0.00928423715464538,0.0198954982283794,0.677870958757173
"33",0.0102156985572043,0.00131966718020064,0.00112661200359505,0.00811774941638049,0.452681858400892,0.66099890787392
"34",0.0117581962351131,0.0016282023353025,0.00141902918027276,0.00926529463898583,0.484644819494846,0.550121150178721
"35",0.0101226930219714,0.00133363442536633,0.00170054499664846,0.0078748563044069,0.472980775420913,0.770469996791008
"36",0.00965162468720896,0.00135313389252015,0.00147090582190415,0.00756298432281649,0.38969203155819,0.610106341461208
"37",0.0110086915434838,0.00167899409016224,0.00141050521976378,0.00850358302396352,0.484155547651815,0.765036661457957
"38",0.0102349287068582,0.00172781170968774,0.00219156369774242,0.00803400676200786,0.377781610724613,0.774850633611688
"39",0.0100529875997947,0.00171298443112531,0.00155071967685401,0.00783829069738033,0.386147749984527,0.709814137033425
"40",0.0113847401094635,0.00216066158290031,0.0025340609149679,0.00885211264952458,0.435527420083995,0.769550110808952
"41",0.00885774023381543,0.00170336826563544,0.000591308375262963,0.00690495373288641,0.293435902012798,0.656647005904514
"42",0.0108506682452789,0.00218457156181651,0.000940278220314374,0.00837176624935369,0.00662127882344569,0.658680524737305
"43",0.0104633585902025,0.00249930644323046,0.00076529586308994,0.00810518700489091,0.00192719460499213,0.676202837317839
"44",0.00998582479377724,0.00307374513767978,0.00128648974090695,0.00778145555147299,0.00348748972323197,0.734314506324121
"45",0.00963843846398009,0.00285055475628437,0.000972057974283988,0.00752443408250192,0.206870720157045,0.704677984596539
"46",0.00986085563218085,0.0029014622397183,0.00128039890446178,0.00759982536274329,0.00187568703225738,0.699981870468673
"47",0.0100141421758202,0.00394603121664156,0.000982479489130417,0.00775616331554264,0.00184257744535087,0.740499544117416
"48",0.0151150146766819,0.00486679307427136,0.000749330613335796,0.0114188036296044,0.00100738945829423,0.841922527520696
"49",0.0100418596967045,0.00520434266984352,0.000754611846190811,0.00790961500941923,0.00102964862333454,0.677026276024015
"50",0.00960126384065729,0.00416131341359227,0.00056326074685697,0.00745456776208996,0.000534662357110827,0.721635980307089
"51",0.00967515234087445,0.00407940715081279,0.000494864819387989,0.00752026621465052,0.000746126008569541,0.721773768854939
"52",0.0105984655132629,0.00551845838669379,0.000648961758398177,0.00810510056775937,0.000317990484955047,0.763491299814495
"53",0.00949670914005835,0.00576164873312442,0.000514805299695795,0.00722996608008598,0.000242415892572502,0.722012052070848
"54",0.00931127512999367,0.00688853643855303,0.000645861624061516,0.00725260895882998,0.000146772163393953,0.617909986489313
"55",0.00841742408410608,0.0078557520061652,0.000419159289181283,0.00661574129185585,0.000152348895170232,0.675241689751649
"56",0.00881230113075352,0.00820913176068694,0.000562425815684114,0.00686443897169427,0.000174460229297373,0.657975939905625
"57",0.00900940588238247,0.00649306352528895,0.000399885218088109,0.00692810514374481,0.000134411493796089,0.716724403270185
"58",0.0101791198808608,0.00926431121552301,0.000467187816144341,0.00778963112688972,8.90120025372593e-05,0.831341122017429
"59",0.00896060567021627,0.00752539553947146,0.00029309913541423,0.00685595221758138,6.02737578106179e-05,0.687085604941887
"60",0.00892944067033964,0.00987051193901141,0.000270150876556302,0.00690691547317193,5.51180883166375e-05,0.676155397294524
"61",0.00998272225494858,0.0155805930872969,0.000394351112559894,0.00777835514015,4.91012142643479e-05,0.687779326773145
"62",0.0105566250215277,0.0181192282785078,0.000591864685914481,0.00814389387499069,3.91041057841486e-05,0.785595569287596
"63",0.0111442022872261,0.013605055314081,0.000298786657951672,0.0083713878332494,3.14084478802825e-05,0.697949538623573
"64",0.00887837048963633,0.0130459106463413,0.000229851384236525,0.00686166736104449,2.46834120278089e-05,0.758902540062738
"65",0.00948565386333428,0.0142240204773423,0.000305164441447029,0.00724743426335242,2.08490059828356e-05,0.627992961878839
"66",0.00866588507320867,0.0177040614447537,0.000232712862633295,0.00662715603287999,1.93887322787969e-05,0.577326331824681
"67",0.00963359631983513,0.0166665989008387,0.000239845752031134,0.00738329637351015,1.51074578102024e-05,0.747324442420065
"68",0.0103650169065961,0.0217471554865803,0.000266821820199308,0.00787062604098651,1.2431084743639e-05,0.856532563096615
"69",0.00982733513938343,0.0152774345785404,0.000263115512813559,0.00747473342032969,1.2936858266111e-05,0.812226870135296
"70",0.00939532926576832,0.0181782648081617,0.000191418285948362,0.00714110163347178,1.0025169920157e-05,0.873648125253406
"71",0.00980890501393746,0.0267936272957086,0.000186738101077757,0.00749467597560686,9.55586569991281e-06,0.76607025693434
"72",0.0105380566119389,0.0321929519336702,0.000231081910632928,0.0079815899359722,8.29870731017716e-06,0.715888424780751
"73",0.0123630805572005,0.0323863851599022,0.000340806184881958,0.00941409467925961,9.48472513103913e-06,0.73918700266982
"74",0.00882896510062932,0.0253572528088379,0.000160760978956649,0.00674086987478736,5.96874203015685e-06,0.726154741588317
"75",0.00902472928625233,0.0326228329507148,0.000200479760873929,0.00690642601389205,5.36953687136282e-06,0.719628627612112
"76",0.0105524438654161,0.0336366244605871,0.000245661938898004,0.00801426654366065,5.53050035533211e-06,0.695048931111359
"77",0.00903152155620513,0.029983607031057,0.000123005145869193,0.0068823935680784,4.12385063587813e-06,0.812963996853519
"78",0.0113407548885746,0.0274733184159797,0.000183211843718299,0.00869311437254632,4.77583989005901e-06,0.677088623801024
"79",0.0101046469257323,0.0333516700066403,0.0001582232202572,0.00780533159311647,4.34006288420947e-06,0.681279815956507
"80",0.00909280557723548,0.0278061370322072,0.000141659974231954,0.00695484338378538,3.60718747469412e-06,0.723731782817433
