"","n","r","lambda01","mu01","lambda02","mu02","lambda03","mu03","lambda04","mu04","lambda05","mu05","lambda06","mu06"
"24",20,16,2.70695717237749,1.47239770689767,2.69186741869546,1.47100816808338,2.69186741869546,1.47100816808338,2.65575527098317,1.4726653144012,3.37925663234541,1.54917397973979,2.6561033828938,1.47237492488118
"25",20,16,1.01337193409153,1.32843409799097,0.87651094698895,1.29219234105026,0.838633284553801,1.27766242809341,0.981886991571922,1.32638271640578,8.21249276494018,2.00634367548733,1.00124883684006,1.33238581054924
"26",20,16,0.745625595537551,1.17979662655491,0.822592606408233,1.23335771115549,0.822592606408233,1.23335771115549,0.856464618435256,1.22882837735342,1.34881651428811,1.43621096196579,0.871604596657921,1.23418644309411
"27",20,16,1.84143342530875,1.52329871828893,1.77802480363805,1.51536522098988,1.77985452003095,1.51560007362178,1.77870584910547,1.50631177372079,3.61854773002269,1.70902884277538,1.67547064050623,1.48301893285809
"28",20,16,3.12381046398383,1.55769404405885,3.00528899309743,1.54721103236683,2.94490296201185,1.54147220376573,2.68028480064854,1.52008031484729,2.99378734514333,1.5638550999853,2.67709415373146,1.52061714669806
"29",20,16,1.76514277895607,1.4904873464685,1.74703149682396,1.48758665750743,1.74703149682396,1.48758665750743,1.79814831751142,1.4959746774748,2.38521491462242,1.60279726405604,1.77589557718509,1.49105698154712
"30",20,16,1.75792484928845,1.41464881652746,1.70525455923039,1.40932105176551,1.66884874373984,1.40549197714815,1.65809343579928,1.40781487324387,2.00980258446289,1.48816307441593,1.66071798191143,1.40948562186624
"31",20,16,2.01873191388712,1.4711993447422,1.9296002835238,1.45969265248665,1.89505708679216,1.45364835494312,1.93822223657054,1.45554181396054,2.45106121291876,1.55420542907756,1.96027717247925,1.45810101539457
"32",20,16,1.28283318784821,1.33259726401056,1.24020968943874,1.32414517580641,1.12946837120644,1.28661462402811,1.1307169489763,1.29123873643149,1.35436289307213,1.41240618125475,1.13707224264372,1.29104869938783
"33",20,16,1.20366298640698,1.37466995738239,1.19463015128565,1.37200449535949,1.18529159484294,1.36949428604289,1.19257843137143,1.3785550122409,2.86994805205855,1.74471107659932,1.19590773834516,1.37943469008091
"34",20,16,7.42023927917473,1.55657239392022,4.41295651622398,1.47502144463134,3.58214623189647,1.43142519707856,2.7700925326139,1.39314194241522,2.98539880238877,1.45734000317922,2.74556498304826,1.39089065643725
"35",20,16,2.04331244843586,1.44498877518311,1.99352671912149,1.43686951379654,1.98216658546732,1.43497412251934,2.01448059827787,1.44745519039859,2.41188409576321,1.52466167791636,2.01783086366764,1.44879414223994
"36",20,16,2.83568256376734,1.53761560653787,2.81774661372739,1.5366159848179,2.81774661372739,1.5366159848179,2.86130595171623,1.54209926953714,4.43392075920437,1.65698618033311,2.9998619846734,1.55576420487789
"37",20,16,2.65704123178253,1.58764389187211,2.61579251171183,1.58513346842682,2.48412782270756,1.57697573012134,2.38439576243988,1.55824232778402,2.63010216300843,1.59735808451552,2.39946337013833,1.55844048408323
"38",20,16,2.07625470438712,1.38102367523029,2.06411531871821,1.3799647339393,2.06411531871821,1.3799647339393,2.09084830616677,1.38483557788561,2.95994322135252,1.47897917175132,2.13270157549356,1.38843068276851
"39",20,16,2.21074700216909,1.54980558720453,2.18407191239047,1.54751242028313,2.18407191239047,1.54751242028313,2.04314027954575,1.54700991239735,2.28122980046555,1.61765070454167,2.05207681967025,1.5485571199411
"40",20,16,3.29964054117737,1.53399082877718,2.98412366692009,1.51899394855375,2.95119764684908,1.51630837119055,2.24749019200043,1.4690339753672,2.55281236388455,1.5523894137983,2.22213873000873,1.46708681841838
"41",20,16,3.68573715205373,1.73992127436779,3.68573715205373,1.73992127436779,3.03242422526833,1.69466671100084,1.88076045872979,1.57005704720902,6.37349416433391,1.91957551252926,1.8546717925705,1.5677531364694
"42",20,16,1.30482830740083,1.35131776372033,1.25473375385902,1.34258984745286,1.29269616996597,1.34925063111861,1.32678428283856,1.3631772936657,1.96751267219915,1.52606173509048,1.37950633507857,1.38001564384628
"43",20,16,6.04951403596716,1.62798916306171,5.87366624751537,1.62377582533907,5.51096206610104,1.61307264792976,5.37699680640512,1.6080169524389,11.4086964657942,1.75449260746635,5.48864153194287,1.61311688693508
"44",20,16,3.47189654679986,1.54587077409725,2.91092902274158,1.50252866764103,2.81028819758911,1.49432411115251,2.68179325070236,1.47823480366873,3.79970010706406,1.56042535724834,2.72957774965556,1.48260592474966
"45",20,16,3.06860562934281,1.53779557481884,2.88338857053186,1.52612099023766,2.68747988497792,1.51296511422781,2.38174321077427,1.48085111394146,2.27446411114652,1.49047952028923,2.36673027719188,1.47733072768959
"46",20,16,1.208751347057,1.4719950416124,1.08555212326561,1.43081934872416,1.06139168240915,1.42634567997821,0.87165886892326,1.35113090404431,1.74218567221287,1.71050098548803,0.851566541135406,1.34003914889972
"47",20,16,3.14227553856748,1.54744778681742,3.00682449783334,1.54116231828895,3.00682449783334,1.54116231828895,3.23593550724825,1.55459186622189,4.11241261607598,1.60947270779461,3.33226632504569,1.55981397312792
"48",20,16,1.82009442348954,1.37281008407812,1.78969013162765,1.36879175505445,1.77125475916116,1.36630504826045,1.77604342648674,1.36868898328929,2.30153583572357,1.46832115385052,1.77334733737722,1.36884137467682
"49",20,16,2.90540947417548,1.52550298477847,2.80799104713033,1.5217026299127,2.79750005427499,1.52104098081685,2.85248086397302,1.51676296926544,3.26559520232532,1.57279162569066,2.88924598386935,1.51931356568905
"50",20,16,1.1897022350452,1.3353318451875,1.12874690152468,1.31892366752652,1.12874690152468,1.31892366752652,1.14842946354198,1.32211183759746,4.00706516838379,1.75326672750329,1.17365775109192,1.3284422692375
"51",20,16,1.88453172599988,1.52233168796561,1.88909616851782,1.52320426325623,1.87309051202216,1.52013049391697,1.67988858794238,1.47571282990472,2.1682105582966,1.5718194451274,1.66655122341485,1.47140134273536
"52",20,16,2.5343081751747,1.43553944645575,2.39797645599453,1.42232632176756,2.35603138237551,1.41818411964024,2.2552509227441,1.410600085141,2.68108196059002,1.49988172939411,2.24457459198317,1.41042976214006
"53",20,16,2.38995502247469,1.46621454785742,2.23777086741927,1.44826185580824,2.23777086741927,1.44826185580824,2.25625220870276,1.45174442657388,2.80257840073919,1.55016410675271,2.26828214165457,1.45408324162972
"54",20,16,2.42080124794137,1.45925768831996,2.36500461984131,1.45212672231602,2.36500461984131,1.45212672231602,2.19825557883391,1.42923767786466,2.30539867769294,1.46319841280128,2.18490965701811,1.42341697531528
"55",20,16,2.57150976407913,1.56323492902594,2.25827045186648,1.53052740395983,2.20686749010711,1.52549997674206,2.23389084980176,1.51990541232073,3.15777158986455,1.58886508065153,2.35519185716026,1.52840054100646
"56",20,16,1.4783035132378,1.37829896902277,1.41758673676555,1.36629657033883,1.41758673676555,1.36629657033883,1.42315664089374,1.37400203153651,1.73800428875984,1.46280730726139,1.42355682156651,1.37425977867956
"57",20,16,3.3901830779709,1.49751755077254,3.22624729212335,1.48729725624967,3.22624729212335,1.48729725624967,3.39348827516951,1.49526739889068,3.84975254701122,1.54551552734003,3.48156410299746,1.50217797984203
"58",20,16,1.98860240186785,1.50718848819592,2.03902393819453,1.51341990782809,2.05084841286304,1.51511916451895,2.16777551047228,1.5282027361851,2.62954632580964,1.59694564261137,2.18920125857265,1.53152442100365
"59",20,16,5.8668873105978,1.60749244356679,4.27864915265837,1.56692905552127,3.84223896885878,1.5505824353975,3.36667828583594,1.51905992486474,4.10957868381067,1.59947868081533,3.36072333210509,1.51791376551642
"60",20,16,2.96216094197783,1.64723000468149,2.96216094197783,1.64723000468149,2.94582195468247,1.64588483514146,2.48105606542426,1.60605827769894,2.80608286789981,1.6402086916858,2.51714393756513,1.61100201869743
"61",20,16,1.78579373684393,1.49258331041,1.65470975427866,1.47039045617658,1.61249999527246,1.46185864350396,1.36730458400258,1.39116672601378,4.92934844849524,1.83064083397915,1.36909129855977,1.39224663342701
"62",20,16,2.35291538784745,1.47229821983136,2.11995222461817,1.45063918399405,2.11995222461817,1.45063918399405,2.41171745047575,1.47575328183906,3.35264662957622,1.55422964466458,2.44164538284504,1.47740016340158
"63",20,16,1.12047563322271,1.36676630218787,1.12047563322271,1.36676630218787,1.12047563322271,1.36676630218787,1.10932660727901,1.36160985970155,2.69177473733961,1.73018420350818,1.11191090827855,1.36252622111967
"64",20,16,2.53214939955711,1.61036670688913,2.53214939955711,1.61036670688913,2.53214939955711,1.61036670688913,2.19841184139054,1.58470433674306,3.37400863185646,1.65056658452772,2.82461776152191,1.62218627067084
"65",20,16,2.19191587223379,1.44379395918472,1.97799782639347,1.41835642038943,1.97799782639347,1.41835642038943,2.06005573032813,1.42565125851607,2.53251502998004,1.48173528629572,2.10318805937085,1.42942387315295
"66",20,16,1.59564893613473,1.43145420735192,1.56757817587886,1.42807011484376,1.56144815234128,1.42690043775024,1.50092527175484,1.4137941887937,1.79975973323155,1.5058428623182,1.48780225223149,1.40989539264294
"67",20,16,3.09497814214237,1.54216352506639,3.04771579693397,1.53902448658612,3.03304517407061,1.5381273729835,2.76753127221793,1.52406002080954,3.17226641600345,1.59226031660279,2.74430704062261,1.52153969898042
"68",20,16,1.8220906869754,1.37991855439171,1.78016804285284,1.37246905538086,1.71646228895073,1.36246648894022,1.68397894637031,1.3548092553538,2.02970512819033,1.43997090522734,1.66952918622125,1.34420189442788
"69",20,16,2.06172800790665,1.49452527624213,1.90761643624661,1.47062935325007,1.85408335081643,1.46421229329284,1.74247191915114,1.45672015373084,2.18054451355347,1.53907166709105,1.74158452840865,1.4566891560758
"70",20,16,3.12279276544364,1.46551858940798,3.00255144624045,1.46024819987597,2.93063678947915,1.45694218184469,2.8525121271969,1.46139593263942,4.17458370905113,1.56232954094181,2.88247578795223,1.46419735236206
"71",20,16,2.3449155169687,1.37184150562576,2.28199971984909,1.36858818107077,2.23269117618624,1.36405126427689,2.23277835961883,1.36053485307792,2.62282756237255,1.43333037376142,2.2274632647897,1.3612097224577
"72",20,16,1.18541243302757,1.53345993276183,1.18541243302757,1.53345993276183,1.18541243302757,1.53345993276183,1.22112836035601,1.53767953490183,1.65019167246501,1.65751947664248,1.22590367296843,1.53681019394952
"73",20,16,2.82695276633913,1.54622821357733,2.85032782471252,1.54872109569491,2.85491468946062,1.54912898516557,2.60723583380528,1.51409419869705,2.89084006908463,1.5507646382584,2.6226632073313,1.51394675702281
"74",20,16,1.71535389338988,1.43779030406292,1.66326591800727,1.42403046591479,1.60345665642817,1.40940206681048,1.55781170644404,1.4032614362828,1.94963392199534,1.50090525051128,1.55997522887585,1.40416638548938
"75",20,16,5.22799556468759,1.57607160080695,5.21857220855268,1.57574921150359,5.21857220855268,1.57574921150359,5.52476677662114,1.58173393476876,10.1694252290968,1.69242991634847,4.2669531948001,1.52950830064798
"76",20,16,2.72237925353126,1.47284735572827,2.26775561619645,1.43316414576572,1.70178051433589,1.36834029665973,1.30783339590307,1.31278158776165,1.86271470981592,1.49383432588656,1.31445075260663,1.3156441421887
"77",20,16,1.67421039624237,1.35275158222052,1.67421039624237,1.35275158222052,1.73093401518256,1.36273033290782,1.58516468929281,1.33566654183503,1.94705834933302,1.43937624731407,1.582707800441,1.33476944901271
"78",20,16,2.18742166835667,1.47368242716452,2.18742166835667,1.47368242716452,2.0643098721612,1.46188869121465,2.16902524745894,1.46977961238754,2.85455749198201,1.55031011195653,2.19574048735951,1.47257437755041
