"","mse1","mse2","mse3","mse4","mse5","mse6"
"37",0.370734033519893,2.26270761157825,3.3215329129494,0.479548943764541,0.00850812729071499,0.0057449940903371
"38",0.348305741090834,1.89779824236718,1.94755902679472,0.453419003274715,0.361591088366962,0.00594249452959862
"39",0.370146067487897,1.85780148529564,3.1138134805543,0.478103069106597,0.00913546690366245,0.00573847600594198
"40",0.371195261974517,1.97802334788742,2.07060014781521,0.474371061343789,0.00946197204696816,0.00581335361215621
"41",0.361555799290015,1.58050599171086,5.3489295039996,0.466626782719704,0.00972340240826388,0.00482343148031525
"42",0.372363907637181,1.70696464077447,4.05145055632902,0.482953233936293,0.492704487366807,0.00619362199139908
"43",0.385253357364799,1.6877306744048,3.2087782231825,0.496170901829461,0.0125327814821118,0.00468052868201389
"44",0.344628416420159,1.22572173798168,3.61668470381444,0.438478346664431,1.16930404270005,0.0041723214351091
"45",0.348181568336336,1.17111271706407,4.52479015148847,0.449046376244506,0.00970685845040072,0.00414572569475415
"46",0.367505384783804,1.2864911856381,3.21396729078679,0.475422217135897,2.56936312252964,0.00570399302640543
"47",0.39615530263964,0.955593667794357,4.79969613440507,0.510211911973672,2.21191665364948,0.00651880416086927
"48",0.370208088618354,0.969496793376839,3.47426797969704,0.481489917651732,2.00000974152307,0.00507102388219994
"49",0.358585576755774,0.860224018871578,4.89849179907887,0.461111380777371,5.3943839407193,0.00539193390565002
"50",0.360154635690978,0.844178277010996,5.18728242182415,0.466165474974197,5.72171121695697,0.00507074252307989
"51",0.353177928040729,0.697190665526979,6.03402042045525,0.457946216294829,8.63003811784631,0.00484588894759035
"52",0.392292120501913,0.580207744680446,4.99401574809922,0.50011217359399,10.9223819539944,0.00568683016850248
"53",0.420401802309569,0.701456070267557,10.2251403127357,0.546198619734291,12.3603196793015,0.00564294557910587
"54",0.371682903745753,0.448893912263024,3.88218415734369,0.481042706025131,17.5215916675629,0.00476677355292754
"55",0.386956692506571,0.499623295757736,5.28350891088516,0.497460504463972,27.1527790241549,0.00554487921552579
"56",0.406446835999909,0.600836497389459,10.0613805943648,0.525948471825556,33.649267533826,0.00517124030021697
"57",0.433041282578461,0.409141733316613,7.03528123372585,0.564760373261595,52.7861233106576,0.00696241198608967
"58",0.374093139619522,0.411132184128565,7.77878394940901,0.481746274134806,38.0700645185964,0.0056223660280802
"59",0.401853254505242,0.508738299210527,13.6359309769823,0.527435545244918,66.2868944873278,0.00568583914806984
"60",0.421905914677248,0.365488810634749,11.3541210721627,0.545495575847496,81.9935046931238,0.00612217078471203
"61",0.390171322235166,0.284702129630263,10.2824787562984,0.498441208611098,88.4133340832286,0.00588470042998485
"62",0.392430328463092,0.270987610995531,11.5626445193964,0.505283347229126,109.770612594177,0.00568607547420832
"63",0.38080395261541,0.243804187656627,13.6941474491105,0.492155815853439,126.952794808177,0.00498003891024798
"64",0.392087037162088,0.240693213615686,13.0765884978117,0.508310966695751,147.033434549874,0.00457980599711524
"65",0.399001287422519,0.195296933592417,11.2310529628235,0.520927897337025,198.693306713513,0.00581309986027739
"66",0.387199192668583,0.165460245421638,16.3630518220809,0.508595889203787,186.740820611807,0.00591695495598642
"67",0.361628862111254,0.206861741157698,13.2248602710681,0.472007319205786,243.149451201078,0.00467506312279953
"68",0.447951355781773,0.197539379655519,14.3603338902696,0.574763585485986,360.28987643844,0.00757418471264488
"69",0.387430952787876,0.128771379025967,16.8922621107274,0.496696385265531,319.269575665295,0.00446208495710505
"70",0.374453476075621,0.149547315567549,15.2843555819397,0.48500883348047,354.721452087894,0.00546438631581455
"71",0.391252222685326,0.16606599494784,13.002133290595,0.505010358510861,462.21732020283,0.00491896408188402
"72",0.423967699631144,0.149621086320748,10.4623744809115,0.551242170841578,543.228896495701,0.00693318512113118
"73",0.43768345668206,0.126828718242097,19.7813353340173,0.567522000583196,528.833218503604,0.00564046288072245
"74",0.41935385271052,0.12391393029846,22.7508755533321,0.545969096657208,651.404917417487,0.00555706547938267
"75",0.379477330717882,0.130841258997017,17.8627401256079,0.500548511142,664.542818294631,0.00506638814024088
"76",0.392028926821678,0.0991018485354411,16.7864493137041,0.509961455395515,773.963005647589,0.00607768297732831
"77",0.402657266942225,0.123321989987934,28.1674599989026,0.529728428857157,824.422794272634,0.00480214147598424
"78",0.40672153008903,0.107360200067077,30.6751832472408,0.531283719802169,972.526778167134,0.00496615920676397
"79",0.416006658197777,0.129300433288155,27.1480882879179,0.541433689374447,1025.99601251887,0.0056309954871398
"80",0.442754617643049,0.125471170134511,32.4418749371498,0.577839722784082,1097.72480727539,0.00540901673556646
"81",0.405436720504714,0.13318257070028,17.4035750613698,0.522099234290146,1147.82220298594,0.00473992893670915
"82",0.426480562119495,0.108525551770163,24.601196545823,0.559591957134711,1224.26011903474,0.00528013737593557
"83",0.412756452072939,0.105648675000256,25.2931335111648,0.533445199999031,1304.42827249329,0.00645140803772833
"84",0.428567640382382,0.104945319222843,25.0350991583306,0.560369483332596,1323.35509701457,0.00503074781723326
"85",0.409082522751632,0.0965107518956398,18.3115759863857,0.5344675027071,1464.01681003485,0.00534892355847724
"86",0.431065045349318,0.111502452116094,24.0745445813742,0.560357062963411,1546.00197509012,0.00529438381773154
"87",0.410784321138423,0.102766580994081,33.4009679977262,0.538038200669708,1563.27101307363,0.00702141487426055
"88",0.412262196672329,0.103513491997622,28.6979009572577,0.538407491430641,1615.08560606029,0.0041437571006572
"89",0.423898470855494,0.0961015762526963,40.8417083282526,0.563450722520993,1680.92210089446,0.00589832702389188
"90",0.413552027515021,0.109522115603407,24.2594746613282,0.539310634414447,1685.90125078053,0.00587718184294376
"91",0.427392610934609,0.10195285664927,34.4903181668477,0.561365804876249,1800.88519426645,0.00537262926257452
"92",0.43633254723541,0.103157777597574,33.9825190197065,0.573939059525177,1802.57316962246,0.00512564302285717
"93",0.428433842375515,0.104332074448816,29.8073325109205,0.555410952934244,1844.26376834906,0.00556067781352925
"94",0.409182219724506,0.100356757617032,38.2581969918837,0.537949044739068,1778.31727209955,0.00480277260996676
"95",0.403230550870072,0.0956812273315926,25.888478201154,0.526168266581755,1818.89245240725,0.00577629280651393
"96",0.421226172320955,0.0974251666661756,40.094210444774,0.556782748844845,1720.88349345692,0.00442485768606036
"97",0.453488095658502,0.0992027114669526,28.5437958523408,0.592510715433775,1688.96208106866,0.00610051649392598
"98",0.399965055888473,0.0998502622552483,30.706759446408,0.526017313112312,1762.71820976516,0.00422780660765377
"99",0.421786412160329,0.102007492110691,19.5934117850354,0.543299715095456,1559.34865210761,0.00622525461462224
"100",0.430023697972096,0.109993272350228,30.5897232294577,0.562949262243187,1599.27158998425,0.00598708621056371
"101",0.413740822640492,0.103773593727763,32.7373487366515,0.535940833511946,1753.9868542224,0.00438563244548854
